,Rank,Last Year's Rank,Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years,Team,League
249,250,243,212663,2.3,8506534,245,,,Port Adelaide,AFL
250,251,245,210229,1.7,8409159,246,,,North Melbourne,AFL
251,252,230,202669,-9.6,5066729,257,1356888.0,15.0,Hibernian,SPL
252,253,249,199219,5.5,5179693,256,,,Montreal Impact,MLS
253,254,),191176,,6500000,247,,,Beijing Guoan,CSL
254,255,254,181843,13.4,4727924,261,,,Vancouver Whitecaps,MLS
255,256,),170588,,5800000,252,,,Tianjin Taida,CSL
256,257,247,167842,-16.2,4196057,269,872820.0,31.0,Dundee United,SPL
257,258,),167647,,5700000,253,,,Shanghai Shenhua,CSL
258,259,),164118,,5580000,254,,,Changchun Yatai,CSL
259,260,262,163259,32.8,4244737,265,,,Portland Timbers,MLS
260,261,),159529,,5424000,255,,,Shanghai Shenxin,CSL
261,262,256,157131,5.1,4085412,272,897624.0,-27.0,Chicago Fire,MLS
262,263,251,149893,-17.6,3747335,275,854672.0,11.0,Kilmarnock,SPL
263,264,),142353,,4840000,259,,,Qingdao Zhongneng,CSL
264,265,268,140586,25.1,3795819,273,570700.0,53.0,San Jose Earthquakes,MLS
265,266,260,134364,1.6,3762180,274,,,Philadelphia Union,MLS
266,267,263,133110,9.5,3593965,277,598364.0,51.0,Real Salt Lake,MLS
267,268,259,128203,-5.1,3205068,282,623324.0,27.0,Houston Dynamo,MLS
268,269,258,126912,-9.0,3299713,279,631592.0,12.0,DC United,MLS
269,270,257,123142,-13.0,3694248,276,626600.0,19.0,FC Dallas,MLS
270,271,),122353,,4160000,271,,,Liaoning Hongyun,CSL
271,272,255,121094,-21.2,3027357,285,,,St Johnstone,SPL
272,273,250,120329,-34.5,3008214,286,800904.0,-17.0,Motherwell,SPL
273,274,253,120092,-25.2,3002301,287,668876.0,33.0,St Mirren,SPL
274,275,273,119221,14.0,5007297,258,,,Saskatchewan Roughriders,CFL
275,276,267,115669,-0.5,3123066,283,564980.0,19.0,Colorado Rapids,MLS
276,277,261,115191,-8.7,3225356,281,562328.0,33.0,Sporting Kansas City,MLS
277,278,269,113462,6.1,4765413,260,,,Hamilton Tiger-Cats,CFL
278,279,275,110543,15.0,4642800,262,289588.0,,Montreal Alouettes,CFL
279,280,271,108502,3.7,4557084,263,,,Calgary Stampeders,CFL
280,281,265,108369,-9.6,3034331,284,1024660.0,-2.0,New England Revolution,MLS
281,282,276,106512,14.4,2875829,289,548392.0,30.0,Chivas USA,MLS
282,283,),102941,,3500000,278,,,Jiangsu Shuntian,CSL
283,284,266,102900,-12.2,4321794,264,,,Toronto Argonauts,CFL
284,285,270,101019,-3.6,4242807,266,,,BC Lions,CFL
285,286,274,100981,0.9,4241181,267,,,Edmonton Eskimos,CFL
286,287,272,99300,-5.0,4170594,270,307892.0,,Winnipeg Blue Bombers,CFL
287,288,),96471,,3280000,280,,,Wuhan Zhuoer,CSL
288,289,264,93440,-22.5,2896635,288,541684.0,-20.0,Columbus Crew,MLS
289,290,),83529,,2840000,290,,,Hangzhou Greentown,CSL
290,291,278,80847,6.0,2021164,291,381264.0,23.0,Inverness Caledonian Thistle,SPL
291,292,),71572,,1789307,292,,,Dundee,SPL
292,293,),59114,,1477850,293,,,Ross County,SPL
293,294,),42353,,1440000,294,,,Shanghai Dongya,CSL
